USERID,Name,family_name,birthday,contactID
1,Bostic,Bostic,1997-8-22,1
2,Bachman,Bachman,2002-3-6,2
3,Jewell,Jewell,2004-6-23,3
4,Morrison,Morrison,2003-7-1,4
5,Mock,Mock,1991-7-2,5
6,Loomis,Loomis,2000-12-19,6
7,Agee,Agee,2000-4-6,7
8,Lee,Lee,1999-5-19,8
9,Southward,Southward,1998-2-21,9
10,Applen,Applen,2004-1-15,10
11,Chavez,Chavez,1995-7-1,11
12,Morris,Morris,2002-6-6,12
13,Smith,Smith,1997-4-7,13
14,Baker,Baker,1997-1-22,14
15,Flood,Flood,1993-7-10,15
16,Westendorf,Westendorf,1995-1-6,16
17,Price,Price,2001-4-23,17
18,Gibson,Gibson,1997-5-1,18
19,Mcatee,Mcatee,1995-8-2,19
20,Namdar,Namdar,1994-8-3,20
21,Reinhart,Reinhart,1991-9-8,21
22,Ramos,Ramos,1998-2-16,22
23,Rathbun,Rathbun,2001-4-11,23
24,Lozano,Lozano,1990-12-1,24
25,Beaushaw,Beaushaw,1998-7-17,25
26,Stromquist,Stromquist,1993-5-13,26
27,Padberg,Padberg,1998-7-28,27
28,Owsley,Owsley,2002-2-2,28
29,Sanders,Sanders,1991-1-7,29
30,Farmer,Farmer,1993-8-1,30
